address,adm_district,city_district,lattitude,longitude
"город Москва, Боровское шоссе, дом 31",Западный,Ново-Переделкино,55.6424406,37.3615882
"город Москва, Боровское шоссе, дом 31",Западный,Ново-Переделкино,55.6424406,37.3615882
"город Москва, Новоорловская улица, дом 5А",Западный,Ново-Переделкино,55.6360802,37.3639525
"город Москва, 5-я Кабельная улица, дом 1, строение 1",Юго-восточный,Лефортово,55.7389687,37.7163209
"город Москва, 5-я Кабельная улица, дом 2, строение 1",Юго-восточный,Лефортово,55.7376323,37.7168576
"город Москва, 5-я Кабельная улица, дом 2, строение 1",Юго-восточный,Лефортово,55.7376323,37.7168576
"город Москва, 5-я Кабельная улица, дом 2, строение 1",Юго-восточный,Лефортово,55.7376323,37.7168576
"город Москва, Авиамоторная улица, дом 42",Юго-восточный,Лефортово,55.7405401,37.7203264
"город Москва, Зубовский бульвар, дом 21-23, строение 1",Центральный,Хамовники,55.7360028,37.5901342
"город Москва, улица Тимура Фрунзе, дом 11, строение 19",Центральный,Хамовники,55.7356889,37.5866647
"город Москва, Несвижский переулок, дом 3",Центральный,Хамовники,55.7318359,37.5879883
"город Москва, Малая Пироговская улица, дом 29/7, строение 1",Центральный,Хамовники,55.726162,37.5619296
"город Москва, улица Остоженка, дом 53/2, строение 1",Центральный,Хамовники,55.7353561,37.5953894
"город Москва, Зубовский бульвар, дом 17, строение 1",Центральный,Хамовники,55.7362108,37.5907954
"город Москва, Зубовский бульвар, дом 17, строение 1",Центральный,Хамовники,55.7362108,37.5907954
"город Москва, Зубовский бульвар, дом 17, строение 1",Центральный,Хамовники,55.7362108,37.5907954
"город Москва, Зубовский бульвар, дом 17, строение 1",Центральный,Хамовники,55.7362108,37.5907954
"город Москва, Большой Саввинский переулок, дом 9, строение 2",Центральный,Хамовники,55.7351084,37.5697412
"город Москва, Зубовский бульвар, дом 22/39",Центральный,Хамовники,55.7385097,37.5873696
"город Москва, улица Льва Толстого, дом 5, строение 1",Центральный,Хамовники,55.7322358,37.5888902
"город Москва, улица Льва Толстого, дом 5, строение 1",Центральный,Хамовники,55.7322358,37.5888902
"город Москва, улица Льва Толстого, дом 5, строение 1",Центральный,Хамовники,55.7322358,37.5888902
"город Москва, улица Остоженка, дом 38, строение 1",Центральный,Хамовники,55.7388432,37.5940684
"город Москва, улица Россолимо, дом 11, строение 1",Центральный,Хамовники,55.734818,37.581554
"город Москва, Комсомольский проспект, дом 42, строение 2",Центральный,Хамовники,55.721744,37.5729822
"город Москва, Комсомольский проспект, дом 42, строение 3",Центральный,Хамовники,55.7213983,37.572528
"город Москва, улица Хамовнический Вал, дом 34",Центральный,Хамовники,55.7219571,37.5635399
"город Москва, Погодинская улица, дом 1, строение 1",Центральный,Хамовники,55.7341024,37.5720025
"город Москва, улица 10-летия Октября, дом 11",Центральный,Хамовники,55.7253403,37.5637445
"город Москва, Комсомольский проспект, дом 28",Центральный,Хамовники,55.7269695,37.5795834
"город Москва, Комсомольский проспект, дом 28",Центральный,Хамовники,55.7269695,37.5795834
"город Москва, Комсомольский проспект, дом 28",Центральный,Хамовники,55.7269695,37.5795834
"город Москва, Комсомольский проспект, дом 28",Центральный,Хамовники,55.7269695,37.5795834
"город Москва, Комсомольский проспект, дом 28",Центральный,Хамовники,55.7269695,37.5795834
"город Москва, Комсомольский проспект, дом 28",Центральный,Хамовники,55.7269695,37.5795834
"город Москва, Комсомольский проспект, дом 28",Центральный,Хамовники,55.7269695,37.5795834
"город Москва, улица Лужники, дом 24, строение 1",Центральный,Хамовники,55.715677,37.552166
"город Москва, Пречистенская набережная, дом 1",Центральный,Хамовники,55.7353162,37.5983599
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 26",Центральный,Хамовники,55.7273227,37.567718
"город Москва, Усачёва улица, дом 62, строение 2",Центральный,Хамовники,55.724913,37.5618806
"город Москва, улица Пречистенка, дом 21/12, строение 5",Центральный,Хамовники,55.7405898,37.5935672
"город Москва, Зубовская улица, дом 5/36",Центральный,Хамовники,55.7375122,37.5847133
"город Москва, улица Бурденко, дом 21А",Центральный,Хамовники,55.7384351,37.5770835
"город Москва, Кропоткинский переулок, дом 7, строение 2-4",Центральный,Хамовники,55.7376537,37.5930921
"город Москва, улица Тимура Фрунзе, дом 3, строение 2",Центральный,Хамовники,55.7326377,37.5906735
"город Москва, улица Доватора, дом 5/9",Центральный,Хамовники,55.7238252,37.5698854
"город Москва, Хилков переулок, дом 3А",Центральный,Хамовники,55.737193,37.598079
"город Москва, улица Плющиха, дом 39",Центральный,Хамовники,55.740223,37.5772055
"город Москва, Усачёва улица, дом 66",Центральный,Хамовники,55.7238287,37.5605649
"город Москва, Малый Саввинский переулок, дом 8",Центральный,Хамовники,55.7310172,37.5621375
"город Москва, Комсомольский проспект, дом 43, строение 1",Центральный,Хамовники,55.7193523,37.5749499
"город Москва, 2-я Фрунзенская улица, дом 7А",Центральный,Хамовники,55.7221629,37.5794577
"город Москва, 1-й Неопалимовский переулок, дом 10, строение 10",Центральный,Хамовники,55.7418934,37.5806279
"город Москва, 1-й переулок Тружеников, дом 12, строение 4",Центральный,Хамовники,55.7381729,37.5724088
"город Москва, 1-й переулок Тружеников, дом 18",Центральный,Хамовники,55.7369281,37.571416
"город Москва, улица Савельева, дом 5",Центральный,Хамовники,55.7224144,37.5627971
"город Москва, переулок Хользунова, дом 8",Центральный,Хамовники,55.7300578,37.580488
"город Москва, улица Хамовнический Вал, дом 26",Центральный,Хамовники,55.7204606,37.5689978
"город Москва, Усачёва улица, дом 22",Центральный,Хамовники,55.7276605,37.5699044
"город Москва, Малая Пироговская улица, дом 13, строение 1",Центральный,Хамовники,55.7290055,37.5703388
"город Москва, 2-й Обыденский переулок, дом 9",Центральный,Хамовники,55.7412944,37.603435
"город Москва, улица Тимура Фрунзе, дом 28",Центральный,Хамовники,55.7363427,37.5870451
"город Москва, Кусковская улица, дом 1Б",Восточный,Перово,55.7380652,37.7644648
"город Москва, Вешняковская улица, дом 18",Восточный,Вешняки,55.7242133,37.8252517
"город Москва, Вешняковская улица, дом 18",Восточный,Вешняки,55.7242133,37.8252517
"город Москва, Вешняковская улица, дом 29",Восточный,Вешняки,55.7240756,37.8278523
"город Москва, Салтыковская улица, дом 15А",Восточный,Новокосино,55.7371593,37.8659418
"город Москва, Вешняковская улица, дом 39Б, строение 1",Восточный,Вешняки,55.718517,37.825011
"город Москва, Вешняковская улица, дом 17Б",Восточный,Вешняки,55.7346533,37.8318827
"город Москва, Вешняковская улица, дом 17Б",Восточный,Вешняки,55.7346533,37.8318827
"город Москва, Новокосинская улица, дом 36",Восточный,Новокосино,55.7422526,37.8689639
